2025-06-23 23:36:05.679455 - System Idle Process, PID: 0, User: NT AUTHORITY\SYSTEM
2025-06-23 23:36:05.679535 - System, PID: 4, User: NT AUTHORITY\SYSTEM
2025-06-23 23:36:05.690128 - , PID: 108, User: None
2025-06-23 23:36:05.695809 - Registry, PID: 144, User: None
2025-06-23 23:36:05.702365 - kvoop.exe, PID: 260, User: None
2025-06-23 23:36:05.707835 - smss.exe, PID: 692, User: None
2025-06-23 23:36:05.708704 - msedgewebview2.exe, PID: 804, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:05.716031 - svchost.exe, PID: 848, User: None
2025-06-23 23:36:05.716457 - msedgewebview2.exe, PID: 876, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:05.723102 - wininit.exe, PID: 992, User: None
2025-06-23 23:36:05.728993 - csrss.exe, PID: 1016, User: None
2025-06-23 23:36:05.735123 - csrss.exe, PID: 1036, User: None
2025-06-23 23:36:05.740755 - svchost.exe, PID: 1040, User: None
2025-06-23 23:36:05.741185 - msedge.exe, PID: 1068, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:05.746641 - winlogon.exe, PID: 1128, User: None
2025-06-23 23:36:05.752331 - services.exe, PID: 1136, User: None
2025-06-23 23:36:05.758108 - LsaIso.exe, PID: 1192, User: None
2025-06-23 23:36:05.763748 - lsass.exe, PID: 1208, User: None
2025-06-23 23:36:05.769280 - svchost.exe, PID: 1352, User: None
2025-06-23 23:36:05.775096 - svchost.exe, PID: 1360, User: None
2025-06-23 23:36:05.780834 - WUDFHost.exe, PID: 1384, User: None
2025-06-23 23:36:05.786215 - svchost.exe, PID: 1432, User: None
2025-06-23 23:36:05.791536 - fontdrvhost.exe, PID: 1448, User: None
2025-06-23 23:36:05.796630 - fontdrvhost.exe, PID: 1452, User: None
2025-06-23 23:36:05.801662 - svchost.exe, PID: 1488, User: None
2025-06-23 23:36:05.808257 - svchost.exe, PID: 1596, User: None
2025-06-23 23:36:05.813635 - WUDFHost.exe, PID: 1600, User: None
2025-06-23 23:36:05.819297 - WmiPrvSE.exe, PID: 1612, User: None
2025-06-23 23:36:05.824991 - svchost.exe, PID: 1664, User: None
2025-06-23 23:36:05.830469 - WUDFHost.exe, PID: 1760, User: None
2025-06-23 23:36:05.830855 - RuntimeBroker.exe, PID: 1812, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:05.836235 - dwm.exe, PID: 1888, User: None
2025-06-23 23:36:05.841392 - svchost.exe, PID: 1896, User: None
2025-06-23 23:36:05.846500 - svchost.exe, PID: 1956, User: None
2025-06-23 23:36:05.851799 - svchost.exe, PID: 1972, User: None
2025-06-23 23:36:05.856913 - svchost.exe, PID: 2000, User: None
2025-06-23 23:36:05.861982 - svchost.exe, PID: 2076, User: None
2025-06-23 23:36:05.867335 - svchost.exe, PID: 2084, User: None
2025-06-23 23:36:05.872599 - svchost.exe, PID: 2124, User: None
2025-06-23 23:36:05.873034 - Code.exe, PID: 2144, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:05.878300 - svchost.exe, PID: 2236, User: None
2025-06-23 23:36:05.883897 - svchost.exe, PID: 2252, User: None
2025-06-23 23:36:05.889324 - svchost.exe, PID: 2272, User: None
2025-06-23 23:36:05.894653 - svchost.exe, PID: 2352, User: None
2025-06-23 23:36:05.900568 - svchost.exe, PID: 2464, User: None
2025-06-23 23:36:05.906111 - IntelCpHDCPSvc.exe, PID: 2488, User: None
2025-06-23 23:36:05.911468 - svchost.exe, PID: 2544, User: None
2025-06-23 23:36:05.916967 - svchost.exe, PID: 2564, User: None
2025-06-23 23:36:05.922371 - svchost.exe, PID: 2584, User: None
2025-06-23 23:36:05.927706 - svchost.exe, PID: 2592, User: None
2025-06-23 23:36:05.933773 - svchost.exe, PID: 2692, User: None
2025-06-23 23:36:05.944019 - svchost.exe, PID: 2748, User: None
2025-06-23 23:36:05.950823 - svchost.exe, PID: 2828, User: None
2025-06-23 23:36:05.956737 - svchost.exe, PID: 2948, User: None
2025-06-23 23:36:05.957120 - Code.exe, PID: 2996, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:05.963539 - svchost.exe, PID: 3016, User: None
2025-06-23 23:36:05.964015 - Code.exe, PID: 3080, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:05.970918 - svchost.exe, PID: 3084, User: None
2025-06-23 23:36:05.976918 - igfxCUIServiceN.exe, PID: 3184, User: None
2025-06-23 23:36:06.000948 - WmiPrvSE.exe, PID: 3368, User: None
2025-06-23 23:36:06.001358 - msedgewebview2.exe, PID: 3416, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.010574 - WmiPrvSE.exe, PID: 3480, User: None
